label,family,lag,observed,null_mean,null_q025,null_q975,z_score
liturgy_sample,liturgical_repetition,34,0.004905380459893416,-0.0003831323332835384,-0.007621271992132139,0.006771052101684494,1.365721439625087
liturgy_sample,liturgical_repetition,35,0.0009250630576825569,-0.0003605941004086082,-0.008139186475775183,0.007323356846005685,0.3153506020065203
liturgy_sample,liturgical_repetition,36,-0.0019907105138095016,-0.00020871051380947898,-0.008124043847142826,0.008142622819523854,-0.42397796338958205
liturgy_sample,liturgical_repetition,37,-0.002774137205371688,-7.941861374723995e-05,-0.0073086797500502565,0.008162112461206072,-0.6925142786565335
liturgy_sample,liturgical_repetition,38,0.00257862424250499,-0.0005130246368973478,-0.008360543313524885,0.0073811856085669175,0.772207869948488
liturgy_sample,liturgical_repetition,39,0.0004615979996679537,5.232907594310693e-06,-0.007544807124431313,0.008201122952963921,0.11135151915307247
liturgy_sample,liturgical_repetition,40,0.0026146641080093402,-0.00016696963464948617,-0.006995586826320593,0.007419789575174321,0.7357391245276194
liturgy_sample,liturgical_repetition,41,0.006638038929893217,-0.00010628683779701792,-0.008315232098144137,0.007439107020680957,1.6938107085828829
liturgy_sample,liturgical_repetition,42,0.005855870682771699,-0.00018779918902315422,-0.007765924189023159,0.008259716836617872,1.4802884470980273
liturgy_sample,liturgical_repetition,43,-0.007750653518529417,-0.0003374822655237897,-0.007483488143162048,0.007210607502042346,-1.8744821828561653
liturgy_sample,liturgical_repetition,44,0.007497121305182125,-0.00018927634313426405,-0.007200901142706696,0.008031594848741747,1.9459132919360442
liturgy_sample,liturgical_repetition,45,-0.0005027661139164197,-0.0005388527217752644,-0.008254704098412502,0.006981863664217797,0.008883422123033124
liturgy_sample,liturgical_repetition,46,-0.00048554117334603797,-0.00024556791131393537,-0.007437412831100033,0.007535849200985531,-0.06301245998151694
liturgy_sample,liturgical_repetition,47,-0.002875367730534109,-0.0003319069121334513,-0.007689489153374425,0.006752875115146564,-0.6577772310381658
liturgy_sample,liturgical_repetition,48,0.004899391144831483,-0.00013070516335469026,-0.008209223087378238,0.007842141278592882,1.1699029005435428
liturgy_sample,liturgical_repetition,49,-0.0025745656560804825,0.00012947501825724152,-0.007926452196085829,0.008129207423930251,-0.6644832790277774
liturgy_sample,liturgical_repetition,50,-0.006305200164059319,-0.00025327296919848706,-0.006572866116950078,0.006810431527589519,-1.6479368214024028
liturgy_sample,liturgical_repetition,51,0.0006716723509830047,-0.0003611255071160385,-0.00762819378020841,0.006561899927957596,0.26260239463913565
liturgy_sample,liturgical_repetition,52,-0.0017210443827614663,-0.00045363677697677073,-0.007880658737340993,0.008187900448518678,-0.3135685169864711
liturgy_sample,liturgical_repetition,53,0.010886296361804396,-0.0003205078171401334,-0.00706173471239864,0.0068680804496694114,3.03733230244158
liturgy_sample,liturgical_repetition,54,-0.004634654779618712,-0.0002281703208834342,-0.007046230342319666,0.008227081554786436,-1.1720321320108813
liturgy_sample,liturgical_repetition,55,-0.004082446420179547,-0.0002517039918761276,-0.007834791635939371,0.007710638543637169,-0.9341859963507635
liturgy_sample,liturgical_repetition,56,-0.0011170733377594555,9.1371702455043e-05,-0.007551389691646822,0.007730111648835747,-0.302308693368686
liturgy_sample,liturgical_repetition,57,0.004799742690803008,-0.0003115471992479339,-0.008608677797263493,0.007749595198177639,1.2532569312842825
liturgy_sample,liturgical_repetition,58,-0.009934773460876734,-0.0001554011432801513,-0.007788850714095588,0.008037329543415128,-2.465400246588303
liturgy_sample,liturgical_repetition,59,-0.0005290881186748864,-0.000788680283955262,-0.008310145269198085,0.006983656716313055,0.06800198366416942
liturgy_sample,liturgical_repetition,60,-0.0045375704171911405,-0.00018907336941871114,-0.007758182333455217,0.007808108595154545,-1.0493320335494454
recipe_sample,medical_recipe,1,-0.04576084311385377,-0.0003753696383951499,-0.011055835677066445,0.009767168785005942,-8.544553745980092
recipe_sample,medical_recipe,2,-0.02640552207286094,-0.0009020498506386985,-0.011524569691908529,0.00980479538745653,-4.683504922732093
recipe_sample,medical_recipe,3,-0.011993768951430395,-0.0005893024501896852,-0.011497491035797627,0.010835015167676293,-2.0335578713508986
recipe_sample,medical_recipe,4,-0.007994715181418498,-0.00047485420823079164,-0.010973861159571413,0.009880160687499098,-1.4043647986727188
recipe_sample,medical_recipe,5,-0.010449711035082687,-0.00038761466151088615,-0.010449711035082673,0.009917899496462296,-1.872996937328572
recipe_sample,medical_recipe,6,-0.0014757357116630399,-0.00029780330609642877,-0.010422057779257463,0.009955675819152077,-0.22456986728704892
recipe_sample,medical_recipe,7,-0.004427196514227072,-0.0005099911437646009,-0.009897111979169891,0.00949622466926374,-0.7350293501581081
recipe_sample,medical_recipe,8,-0.006884081655898135,-0.00025721598425632513,-0.009869156282763789,0.010031341229674029,-1.216083269761023
recipe_sample,medical_recipe,9,-0.010836692915181606,-9.751919691379663e-05,-0.010338932835539993,0.011562510668690976,-1.8628599858608208
recipe_sample,medical_recipe,10,-0.0023430418350818966,-0.0005527031896635523,-0.011805193229504206,0.01110317330436035,-0.31215753638592725
recipe_sample,medical_recipe,11,0.003667792753817123,-0.0004465570219676191,-0.010781634251663688,0.01014512210110162,0.7310236795828218
recipe_sample,medical_recipe,12,-0.00626752337055516,-0.00045246853506162053,-0.01125256823595893,0.01018312468527735,-1.0254324312208427
recipe_sample,medical_recipe,13,0.0007448559503350355,-0.000257637815250977,-0.010227712628218574,0.010221165177267733,0.1904607316872832
recipe_sample,medical_recipe,14,-0.0047108162464185865,-0.0003832214360393266,-0.011197842194522363,0.009760241637812972,-0.8029511397715722
recipe_sample,medical_recipe,15,0.004306346632018246,-0.0003079818752208734,-0.01117043819074759,0.011795113481743696,0.7863492593204856
recipe_sample,medical_recipe,16,-0.003650499317838181,-3.2866950205797854e-05,-0.011642507309846159,0.009336513669174831,-0.6544193073829448
recipe_sample,medical_recipe,17,-0.0021200457633966246,-0.001013099236659974,-0.01261479838708475,0.009873957235104161,-0.19589239465929054
recipe_sample,medical_recipe,18,-0.009088061755400619,-3.931175540060271e-05,-0.009588061755400619,0.010411938244599392,-1.722329796773606
recipe_sample,medical_recipe,19,0.00044520487791603613,-0.0004214784637547807,-0.010060047748397118,0.008949457003979089,0.1652997076809242
recipe_sample,medical_recipe,20,0.009487513820174959,-0.0006876613550002033,-0.012534508201847053,0.009487513820174959,1.776249862416851
recipe_sample,medical_recipe,21,0.009024607248104638,-0.0006223632075788711,-0.010504686692806714,0.009525358374794693,1.900019725074967
recipe_sample,medical_recipe,22,0.003551216801713608,-7.228019227435234e-05,-0.00997583730650281,0.011567248865841873,0.6441341390207347
recipe_sample,medical_recipe,23,0.008097401903747248,-0.00030109433685423815,-0.010448964011039716,0.009601161302243519,1.5636904418706932
recipe_sample,medical_recipe,24,0.017663192005883233,-0.00029944590785797534,-0.010421060752391582,0.011143633329855157,3.2823246570739224
recipe_sample,medical_recipe,25,0.002150774170339473,-0.0006302092717076786,-0.011396641785505965,0.010680628661057012,0.507405857548644
recipe_sample,medical_recipe,26,0.0026870386462058,-0.00020452761885441867,-0.010365170189135534,0.010217159128133535,0.5356773343473278
recipe_sample,medical_recipe,27,-0.0038078005801118198,-0.0004928834530399812,-0.010839442970870208,0.010255484201405013,-0.5993362177902434
recipe_sample,medical_recipe,28,0.008283797541081786,-0.0003895692930890451,-0.011314192408666927,0.010293847792338107,1.5855316328913165
recipe_sample,medical_recipe,29,-0.0007285846312176103,-0.0004043010716399197,-0.011789419221463954,0.009829484750381187,-0.05852338131280787
recipe_sample,medical_recipe,30,0.014394835628905214,-0.0003788062222014086,-0.011259087912342258,0.010370690759689938,2.6148434606735145
recipe_sample,medical_recipe,31,0.009905898989440845,-0.00026647141820885763,-0.010224951538993964,0.009905898989440873,1.813250780446618
recipe_sample,medical_recipe,32,0.011454737841779639,-0.000702865380778246,-0.011203872430123683,0.008937114478234837,2.2869296153806333
recipe_sample,medical_recipe,33,-0.011680001302000115,-0.0006938552062822155,-0.012687557977063078,0.009982467211853807,-1.8366668199637528
recipe_sample,medical_recipe,34,0.005988551147825191,-0.0008637674005618948,-0.011148545626368335,0.010020809212341344,1.2810799512378273
recipe_sample,medical_recipe,35,-0.0020436845491474676,-0.0005358681094096808,-0.009607981069571073,0.009050617014140491,-0.3049190804104258
recipe_sample,medical_recipe,36,-0.0196703019168537,-0.0007765077695277478,-0.01210218889969928,0.010097609283953576,-3.369876931461086
recipe_sample,medical_recipe,37,-0.006017390377308751,-0.00045328134146824613,-0.010560550397500555,0.010136067472262186,-1.031119285475106
recipe_sample,medical_recipe,38,0.005124059456720592,-0.0001865466038854517,-0.01053250619984504,0.01067961501227617,0.9523364675041298
recipe_sample,medical_recipe,39,0.006170654768096098,-5.723810709337737e-05,-0.009999127950448626,0.010213100447732298,1.0916786188442216
